Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/06/2026 21:41:21,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,30
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,524344
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,688944
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,2386568
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,157895840
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,843064
06/06/2026 21:41:21,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,18
06/06/2026 21:41:21,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.0003569999999999962
06/06/2026 21:41:21,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.05199699999999985
06/06/2026 21:41:21,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
06/06/2026 21:41:21,System.Runtime,dotnet.assembly.count ({assembly}),Metric,54
06/06/2026 21:41:21,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,316
06/06/2026 21:41:21,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,285240
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,59248
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,13496
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,834800
06/06/2026 21:41:21,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
06/06/2026 21:41:21,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,171589632
06/06/2026 21:41:21,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,4
06/06/2026 21:41:21,System.Runtime,dotnet.timer.count ({timer}),Metric,28
